,gene,TA_I,gene,I_II,gene,I_III,gene,II_III,gene,III_IV
102,GABRA3,0.041583212,ONECUT1,0.178005414,GATA4,0.033392036,NR5A1,0.142117379,SNORA63,0.016961633
103,SNORA63,0.043313839,TFF1,0.181125955,CEACAM8,0.033675655,PRTN3,0.166421854,GCKR,0.025177694
104,HSPB3,0.043347791,IVL,0.181896012,TNNT2,0.034784579,SERPINB5,0.238770903,IVL,0.027736117
105,PTPRQ,0.04780715,FXYD4,0.186695605,MUC15,0.03669785,C4BPB,0.259577342,CPB2,0.028802169
106,MC4R,0.050174484,NR5A1,0.190490216,SERPINB5,0.038927173,MFAP4,0.259984039,PAK7,0.033185408
107,C4BPB,0.060224809,SERPINB5,0.194925236,GABRA3,0.045360735,GCKR,0.26376951,ADH4,0.034224776
108,COL2A1,0.060705588,GCKR,0.202957089,LHX9,0.053870158,ITPKA,0.2656457,GATA4,0.034550384
109,SERPINB5,0.060785354,ITPKA,0.208212758,KLK7,0.056180993,DRD2,0.290308406,CNGA3,0.034971275
110,TTR,0.060917868,DPP10,0.21749728,HIST1H3C,0.059878768,AHSG,0.291208303,PPP1R1B,0.038268326
111,AQP10,0.061397507,HRG,0.219310152,KRT4,0.064004045,DPP10,0.291681189,FXYD4,0.040231801
112,CDK5R2,0.061677302,GDNF,0.232128846,IL17C,0.064911223,GABRA3,0.292369108,CDK5R2,0.042033755
113,MYBPC1,0.062043893,AQP10,0.238987491,MYBPC1,0.066914068,HRG,0.299597284,OTX1,0.043414922
114,DRD2,0.06205177,PPP1R1B,0.242229486,MFAP4,0.067327071,AQP10,0.30392379,POU3F2,0.044707081
115,LRFN2,0.062053325,GABRA3,0.264610098,GABRA2,0.067456809,ARHGDIG,0.304017679,LRFN2,0.044823856
116,LHB,0.062440644,C4BPB,0.274577435,LRFN2,0.069434176,GCGR,0.30876393,GABRA3,0.048698735
117,LHX9,0.06247908,MFAP4,0.287304986,HPSE2,0.070393188,GDNF,0.309837968,MYBPC1,0.051009625
118,IL17C,0.062526025,DRD2,0.317697988,EXD1,0.073270633,CDK5R2,0.326533046,ATP12A,0.0533381
119,B3GNT6,0.062573498,ARHGDIG,0.3272431,LHB,0.074213239,ATP12A,0.332208726,NTF4,0.054552892
120,HIST1H3C,0.062591894,CALCA,0.349216458,B3GNT6,0.074227409,TFF1,0.342560313,HIST1H3C,0.055448118
121,EXD1,0.062710727,GCGR,0.354131118,NR5A1,0.075623589,CEACAM8,0.354331743,KLK7,0.059599813
122,MFAP4,0.06283803,CEACAM8,0.360364982,ZFP42,0.077052489,IVL,0.368938134,TTR,0.060569699
123,KRT4,0.063444604,CDK5R2,0.361209742,C4BPB,0.077092555,HPSE2,0.447038388,LHX9,0.062450798
124,CPB2,0.063578743,ATP12A,0.374880326,SNORA63,0.080942832,CALCA,0.455314362,GDNF,0.062499903
125,NR5A1,0.063834838,MMP3,0.40237192,CDK5R2,0.090282821,MMP3,0.456161488,INSM1,0.071493403
126,ATP12A,0.064803778,HPSE2,0.403989927,DRD2,0.098895637,HSPB3,0.473213067,COL2A1,0.074331427
127,PLA2G4F,0.067007362,HS3ST5,0.532622645,PIK3C2G,0.147865351,CPB2,0.582277672,SERPINB5,0.079528974
128,PPP1R1B,0.097686732,CPB2,0.581773847,PLA2G4F,0.21370061,HS3ST5,0.609920385,AQP10,0.094529823
129,GCKR,0.839200329,HSPB3,0.599718539,NR0B2,0.439539228,MMP8,0.813242184,GABRA2,0.108933907
130,GABRA2,0.873761062,MMP8,0.664459024,AQP10,0.653697683,GATA4,0.982454808,CALCA,0.610011229
131,PIK3C2G,2.518823925,GATA4,0.96781056,COL2A1,0.716726613,PIK3C2G,1.219179115,PIK3C2G,2.22121696
